Course,Assessment Type,Weighting,Status,Assessment Strategy
LIFE631_RESEARCH METHODS AND APPLICATIONS IN BIOLOGICAL SCIENCES (OFF-CAMPUS),Coursework,24 %,Approved,"Assessment strategy has been guided by the Curriculum 2021 Framework attributes and hallmarks, particularly authentic assessments. The module runs across both semesters. The previous assessments will all run but in this COVID era 1) News & Views summative assessment – scheduled lecture session followed by timetabled and asynchronous opportunities for face-to-face discussion of the set task in the week after setting. 2) Ethics dissertation summative assessment - will have group tutorials of 20 students to discuss ethical issues pertinent to a subsequent dissertation with a staff member orchestrating the student-led discussion. Word count of dissertation is 1500 words +/- 10%. 3) Poster summative assessment – lecture session followed by independent study with students. Scheduled drop-in asynchronous Teams sessions will be set up for questions/discussion by the staff members. 4) Presentation summative assessment – block sessions will have groups of students all in attendance and taking turns to present (or when needed share screen) to give their talks to the group while assessment is made by the staff member. Groups will be sized based on choice of topic and maintaining a defined session time e.g. 2 h 5) An online zero-rated ‘attendance’ linked assessment will run as previous. There is a reassessment opportunity that takes the form of assignments of the types described above. It will take place in the normal reassessment window and be capped at 50%. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE631_RESEARCH METHODS AND APPLICATIONS IN BIOLOGICAL SCIENCES (OFF-CAMPUS),Coursework,0 %,Approved,"Assessment strategy has been guided by the Curriculum 2021 Framework attributes and hallmarks, particularly authentic assessments. The module runs across both semesters. The previous assessments will all run but in this COVID era 1) News & Views summative assessment – scheduled lecture session followed by timetabled and asynchronous opportunities for face-to-face discussion of the set task in the week after setting. 2) Ethics dissertation summative assessment - will have group tutorials of 20 students to discuss ethical issues pertinent to a subsequent dissertation with a staff member orchestrating the student-led discussion. Word count of dissertation is 1500 words +/- 10%. 3) Poster summative assessment – lecture session followed by independent study with students. Scheduled drop-in asynchronous Teams sessions will be set up for questions/discussion by the staff members. 4) Presentation summative assessment – block sessions will have groups of students all in attendance and taking turns to present (or when needed share screen) to give their talks to the group while assessment is made by the staff member. Groups will be sized based on choice of topic and maintaining a defined session time e.g. 2 h 5) An online zero-rated ‘attendance’ linked assessment will run as previous. There is a reassessment opportunity that takes the form of assignments of the types described above. It will take place in the normal reassessment window and be capped at 50%. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE245_BIOLOGICAL CHEMISTRY,"Written exam, open book, not managed by SAS",0 %,Approved,"Assessment will involve two online formative tests that will involve interpretation and application of the methods learned throughout the module, and which will be practiced in the workshop sessions.  For each of the two tests, students can complete the first 10% multiple times, before undertaking the final 90% as a single timed attempt. The first, stage of each test supplies immediate feedback, while the second stage ensures a high participation rate. There will also be a summative online test during the mid-semester assessment period and the end of semester assessment period, with a combination of multiple choice and other automated questions types.  These assessments will be authentic (Liverpool Curriculum Framework) in that they have a large component of problem solving and analytical questions, rather than simple recall. Reassessment strategy: There will be re-sit opportunity in the normal reassessment period, to be submitted on Canvas. The questions will be different to those used in the original tests. The mark will be capped at 40. Exam: there is a resit opportunity. A combination of multiple choice and short-answer questions different to those used in the original exam. The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE245_BIOLOGICAL CHEMISTRY,"Written exam, open book, not managed by SAS",0 %,Approved,"Assessment will involve two online formative tests that will involve interpretation and application of the methods learned throughout the module, and which will be practiced in the workshop sessions.  For each of the two tests, students can complete the first 10% multiple times, before undertaking the final 90% as a single timed attempt. The first, stage of each test supplies immediate feedback, while the second stage ensures a high participation rate. There will also be a summative online test during the mid-semester assessment period and the end of semester assessment period, with a combination of multiple choice and other automated questions types.  These assessments will be authentic (Liverpool Curriculum Framework) in that they have a large component of problem solving and analytical questions, rather than simple recall. Reassessment strategy: There will be re-sit opportunity in the normal reassessment period, to be submitted on Canvas. The questions will be different to those used in the original tests. The mark will be capped at 40. Exam: there is a resit opportunity. A combination of multiple choice and short-answer questions different to those used in the original exam. The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE245_BIOLOGICAL CHEMISTRY,"Written exam, open book, not managed by SAS",40 %,Approved,"Assessment will involve two online formative tests that will involve interpretation and application of the methods learned throughout the module, and which will be practiced in the workshop sessions.  For each of the two tests, students can complete the first 10% multiple times, before undertaking the final 90% as a single timed attempt. The first, stage of each test supplies immediate feedback, while the second stage ensures a high participation rate. There will also be a summative online test during the mid-semester assessment period and the end of semester assessment period, with a combination of multiple choice and other automated questions types.  These assessments will be authentic (Liverpool Curriculum Framework) in that they have a large component of problem solving and analytical questions, rather than simple recall. Reassessment strategy: There will be re-sit opportunity in the normal reassessment period, to be submitted on Canvas. The questions will be different to those used in the original tests. The mark will be capped at 40. Exam: there is a resit opportunity. A combination of multiple choice and short-answer questions different to those used in the original exam. The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
LIFE245_BIOLOGICAL CHEMISTRY,"Written exam, open book, not managed by SAS",60 %,Approved,"Assessment will involve two online formative tests that will involve interpretation and application of the methods learned throughout the module, and which will be practiced in the workshop sessions.  For each of the two tests, students can complete the first 10% multiple times, before undertaking the final 90% as a single timed attempt. The first, stage of each test supplies immediate feedback, while the second stage ensures a high participation rate. There will also be a summative online test during the mid-semester assessment period and the end of semester assessment period, with a combination of multiple choice and other automated questions types.  These assessments will be authentic (Liverpool Curriculum Framework) in that they have a large component of problem solving and analytical questions, rather than simple recall. Reassessment strategy: There will be re-sit opportunity in the normal reassessment period, to be submitted on Canvas. The questions will be different to those used in the original tests. The mark will be capped at 40. Exam: there is a resit opportunity. A combination of multiple choice and short-answer questions different to those used in the original exam. The mark will be capped at 40. “Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given.”"
BIOS767_ADVANCES IN PERSONALISED HEALTHCARE,Presentation,50 %,Approved,"The module will be assessed via two summative coursework assessments: (1) Individual preparation of an infographic and delivery of a 3 minute elevator pitch on an subject related to the industry perspective of precision medicine. The specific topics will be set by the staff delivering content in the first half of the module, encompassing (LO1). This assessment will contribute 50 % of the module mark. (2) Individual written report on one of the topics covered in the second half of the module. The specific topics will be set by the staff delivering content in the second half of the module, encompassing (LO2 and LO3). This assessment will contribute 50 % of the module mark. Students will be able to select a topic of choice (with a limit placed on the students that can choose a given topic to ensure even distribution) which will be directed and marked by the associated relevant member of the teaching delivery team. Choice of assessment topic (negotiated assessment) is provided to increase inclusivity according to the principles of Universal Design for Learning. This allows students to demonstrate achievement of the learning outcomes using the best topic for them. (Inclusivity; Liverpool Curriculum Framework). Writing of scientific reports is also a skill that is often required by employers or if students continue into a research career and is therefore authentic (Authentic assessment; Liverpool Curriculum Framework). Feedback on summative assessments will be provided as part of the marking process, in line with University guidelines. No formative assessments will take place. Reassessment will use the same format but the report topics will differ. Mark will be capped at 50%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Resit opportunities will be possible. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary.   The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS767_ADVANCES IN PERSONALISED HEALTHCARE,Coursework,50 %,Approved,"The module will be assessed via two summative coursework assessments: (1) Individual preparation of an infographic and delivery of a 3 minute elevator pitch on an subject related to the industry perspective of precision medicine. The specific topics will be set by the staff delivering content in the first half of the module, encompassing (LO1). This assessment will contribute 50 % of the module mark. (2) Individual written report on one of the topics covered in the second half of the module. The specific topics will be set by the staff delivering content in the second half of the module, encompassing (LO2 and LO3). This assessment will contribute 50 % of the module mark. Students will be able to select a topic of choice (with a limit placed on the students that can choose a given topic to ensure even distribution) which will be directed and marked by the associated relevant member of the teaching delivery team. Choice of assessment topic (negotiated assessment) is provided to increase inclusivity according to the principles of Universal Design for Learning. This allows students to demonstrate achievement of the learning outcomes using the best topic for them. (Inclusivity; Liverpool Curriculum Framework). Writing of scientific reports is also a skill that is often required by employers or if students continue into a research career and is therefore authentic (Authentic assessment; Liverpool Curriculum Framework). Feedback on summative assessments will be provided as part of the marking process, in line with University guidelines. No formative assessments will take place. Reassessment will use the same format but the report topics will differ. Mark will be capped at 50%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Resit opportunities will be possible. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary.   The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOM702_ BIOMEDICAL SCIENCES & TRANSLATIONAL MEDICINE RESEARCH PROJECT 2 (PART-TIME),Coursework,75 %,Approved,"All students work on a dedicated empirical research project, the content of which is directed by the academic supervisor of the project. The module is assessed by submission of a final project report, poster and digital media presentations to peers and members of the Institute and completion of an individual reflective skills portfolio which forms part of the continual assessment. Written assessments are submitted and marked online for all students including a draft opportunity. The continual assessment element will assess the student’s conduct and performance throughout the project.  The poster presentation reflects real-life situations (Hallmarks of the Liverpool Curriculum Framework) for a research scientist and will be assessed by the panel on scientific correctness, presentation skills, time management and ability to answer questions. The digital media flash presentation will be designed with a lay audience in mind. The assessments aim to support scientific and lay communication skills development, reflection on the project and self-confidence. In order to minimise the impact of air travel on climate change many conferences, poster and oral presentations are now taking place online or in a hybrid model e.g. with invited international attendees presenting via live video communication links. We will ensure that a hybrid model is possible with the option to change to completely online when necessary. The final project report will not be marked anonymously as it will need to be marked by the supervisor, an expert on the research topic and so the student will be easily identified. However, all proposals will be independently second marked by someone who hasn’t been involved in the delivery of the project. The  reports reflect real-life scenarios (Hallmarks of the Liverpool Curriculum Framework). The final report is in the form of a scientific communication in the field of Biomedical Sciences and Translational Medicine and supports the development of communication skills, data analysis, discussion of findings in relation to the field of research. Students will be offered a re-assessment opportunity in failed assessments in accordance with COPA Appendix C. Students resitting the poster presentation component will be able to present on their project. Students resitting the final report will be allowed to re-submit on their project. Students resitting the module will be required to develop a completely new project with a new supervisor."
BIOM702_ BIOMEDICAL SCIENCES & TRANSLATIONAL MEDICINE RESEARCH PROJECT 2 (PART-TIME),Presentation,15 %,Approved,"All students work on a dedicated empirical research project, the content of which is directed by the academic supervisor of the project. The module is assessed by submission of a final project report, poster and digital media presentations to peers and members of the Institute and completion of an individual reflective skills portfolio which forms part of the continual assessment. Written assessments are submitted and marked online for all students including a draft opportunity. The continual assessment element will assess the student’s conduct and performance throughout the project.  The poster presentation reflects real-life situations (Hallmarks of the Liverpool Curriculum Framework) for a research scientist and will be assessed by the panel on scientific correctness, presentation skills, time management and ability to answer questions. The digital media flash presentation will be designed with a lay audience in mind. The assessments aim to support scientific and lay communication skills development, reflection on the project and self-confidence. In order to minimise the impact of air travel on climate change many conferences, poster and oral presentations are now taking place online or in a hybrid model e.g. with invited international attendees presenting via live video communication links. We will ensure that a hybrid model is possible with the option to change to completely online when necessary. The final project report will not be marked anonymously as it will need to be marked by the supervisor, an expert on the research topic and so the student will be easily identified. However, all proposals will be independently second marked by someone who hasn’t been involved in the delivery of the project. The  reports reflect real-life scenarios (Hallmarks of the Liverpool Curriculum Framework). The final report is in the form of a scientific communication in the field of Biomedical Sciences and Translational Medicine and supports the development of communication skills, data analysis, discussion of findings in relation to the field of research. Students will be offered a re-assessment opportunity in failed assessments in accordance with COPA Appendix C. Students resitting the poster presentation component will be able to present on their project. Students resitting the final report will be allowed to re-submit on their project. Students resitting the module will be required to develop a completely new project with a new supervisor."
BIOM702_ BIOMEDICAL SCIENCES & TRANSLATIONAL MEDICINE RESEARCH PROJECT 2 (PART-TIME),Coursework,10 %,Approved,"All students work on a dedicated empirical research project, the content of which is directed by the academic supervisor of the project. The module is assessed by submission of a final project report, poster and digital media presentations to peers and members of the Institute and completion of an individual reflective skills portfolio which forms part of the continual assessment. Written assessments are submitted and marked online for all students including a draft opportunity. The continual assessment element will assess the student’s conduct and performance throughout the project.  The poster presentation reflects real-life situations (Hallmarks of the Liverpool Curriculum Framework) for a research scientist and will be assessed by the panel on scientific correctness, presentation skills, time management and ability to answer questions. The digital media flash presentation will be designed with a lay audience in mind. The assessments aim to support scientific and lay communication skills development, reflection on the project and self-confidence. In order to minimise the impact of air travel on climate change many conferences, poster and oral presentations are now taking place online or in a hybrid model e.g. with invited international attendees presenting via live video communication links. We will ensure that a hybrid model is possible with the option to change to completely online when necessary. The final project report will not be marked anonymously as it will need to be marked by the supervisor, an expert on the research topic and so the student will be easily identified. However, all proposals will be independently second marked by someone who hasn’t been involved in the delivery of the project. The  reports reflect real-life scenarios (Hallmarks of the Liverpool Curriculum Framework). The final report is in the form of a scientific communication in the field of Biomedical Sciences and Translational Medicine and supports the development of communication skills, data analysis, discussion of findings in relation to the field of research. Students will be offered a re-assessment opportunity in failed assessments in accordance with COPA Appendix C. Students resitting the poster presentation component will be able to present on their project. Students resitting the final report will be allowed to re-submit on their project. Students resitting the module will be required to develop a completely new project with a new supervisor."
LIFE120_ECOLOGY AND THE GLOBAL ENVIRONMENT,"Written exam, seen, not managed by SAS",60 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write a scientific report which teaches them to review and synthesise evidence and write in a concise and appropriate language. Assessment 1: Online test, will include multiple choice and extended matching questions. Assessment 2: Students individually research adaptations to the environment and submit short answers to  a series of questions set ). Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE120_ECOLOGY AND THE GLOBAL ENVIRONMENT,Coursework,40 %,Approved,"The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Students write a scientific report which teaches them to review and synthesise evidence and write in a concise and appropriate language. Assessment 1: Online test, will include multiple choice and extended matching questions. Assessment 2: Students individually research adaptations to the environment and submit short answers to  a series of questions set ). Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS209_CELLULAR BASIS OF HEALTH AND DISEASE,"Written exam, open book, not managed by SAS",40 %,Approved,"Assessment for this module will involve both open-book (Cycle 1; worth 40% of the the overall module mark) and unseen exam assessments (Cycle 2; worth 60%) which focus on the evaluation of case studies, data analysis/interpretation and experimental design. Students will be prepared for the assessment through enquiry-based learning (EBL) exercises, activities delivered through platforms such as Polls Everywhere and discussion boards.  In addition, on-line quizzes will be used to help students track their progress and workshops where students work through case study questions, data analysis and experimental design exercises will facilitate peer learning and provide formative feedback. Reassessment will use the same format but the topic or data will differ. Mark will be capped at 40%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS209_CELLULAR BASIS OF HEALTH AND DISEASE,"Written exam, unseen, managed by SAS",60 %,Approved,"Assessment for this module will involve both open-book (Cycle 1; worth 40% of the the overall module mark) and unseen exam assessments (Cycle 2; worth 60%) which focus on the evaluation of case studies, data analysis/interpretation and experimental design. Students will be prepared for the assessment through enquiry-based learning (EBL) exercises, activities delivered through platforms such as Polls Everywhere and discussion boards.  In addition, on-line quizzes will be used to help students track their progress and workshops where students work through case study questions, data analysis and experimental design exercises will facilitate peer learning and provide formative feedback. Reassessment will use the same format but the topic or data will differ. Mark will be capped at 40%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE363_RESEARCH PROJECT,Project,50 %,Approved,"Assessment 1 is the project proposal, which includes literature background, aims and objectives.  It is due in S1 wk7. Students submit a formative version in wk3. Assessment 2 is the final project report, which includes introduction, methods, results and discussion of the project outcome. It is due in S2 wk 11. Assessment 3 is based on a reflective portfolio, and includes the students' record book and is an assessment of the student's ""approach and technique"" and has therefore no word or size limit, or resit opportunity.  It is due in S2 wk 11. Assessment 4 is an oral presentation. It is due in S2 wk11-12. None of these assessments can be anonymous due to the close student - supervisor relationship and/or their nature (oral presentation/ approach cannot be marked without knowing the student's identity)."
LIFE363_RESEARCH PROJECT,Coursework,15 %,Approved,"Assessment 1 is the project proposal, which includes literature background, aims and objectives.  It is due in S1 wk7. Students submit a formative version in wk3. Assessment 2 is the final project report, which includes introduction, methods, results and discussion of the project outcome. It is due in S2 wk 11. Assessment 3 is based on a reflective portfolio, and includes the students' record book and is an assessment of the student's ""approach and technique"" and has therefore no word or size limit, or resit opportunity.  It is due in S2 wk 11. Assessment 4 is an oral presentation. It is due in S2 wk11-12. None of these assessments can be anonymous due to the close student - supervisor relationship and/or their nature (oral presentation/ approach cannot be marked without knowing the student's identity)."
LIFE363_RESEARCH PROJECT,Coursework,30 %,Approved,"Assessment 1 is the project proposal, which includes literature background, aims and objectives.  It is due in S1 wk7. Students submit a formative version in wk3. Assessment 2 is the final project report, which includes introduction, methods, results and discussion of the project outcome. It is due in S2 wk 11. Assessment 3 is based on a reflective portfolio, and includes the students' record book and is an assessment of the student's ""approach and technique"" and has therefore no word or size limit, or resit opportunity.  It is due in S2 wk 11. Assessment 4 is an oral presentation. It is due in S2 wk11-12. None of these assessments can be anonymous due to the close student - supervisor relationship and/or their nature (oral presentation/ approach cannot be marked without knowing the student's identity)."
LIFE363_RESEARCH PROJECT,Presentation,5 %,Approved,"Assessment 1 is the project proposal, which includes literature background, aims and objectives.  It is due in S1 wk7. Students submit a formative version in wk3. Assessment 2 is the final project report, which includes introduction, methods, results and discussion of the project outcome. It is due in S2 wk 11. Assessment 3 is based on a reflective portfolio, and includes the students' record book and is an assessment of the student's ""approach and technique"" and has therefore no word or size limit, or resit opportunity.  It is due in S2 wk 11. Assessment 4 is an oral presentation. It is due in S2 wk11-12. None of these assessments can be anonymous due to the close student - supervisor relationship and/or their nature (oral presentation/ approach cannot be marked without knowing the student's identity)."
LIFE325_ADVANCED SKILLS IN MICROBIOLOGY,Coursework,60 %,Approved,"Assessment on this module is split into 3 parts. Each part aims to meet the 2021 requirement of authenticity as described below. 1) POSTnote. Based on major themes in current research, students will produce a piece of scientific writing for non-specialist audiences (Members of Parliament). 2) Critical Analysis. Students will be assessed on their ability to critically evaluate scientific literature by producing a peer review."
LIFE325_ADVANCED SKILLS IN MICROBIOLOGY,Coursework,40 %,Approved,"Assessment on this module is split into 3 parts. Each part aims to meet the 2021 requirement of authenticity as described below. 1) POSTnote. Based on major themes in current research, students will produce a piece of scientific writing for non-specialist audiences (Members of Parliament). 2) Critical Analysis. Students will be assessed on their ability to critically evaluate scientific literature by producing a peer review."
BIOS104_FROM INDIVIDUALS TO ECOSYSTEM,"Written exam, open book, not managed by Student Life",30 %,Approved,"Formative assessments throughout the course. Summative assessment There are two assessments: a) Mid-module assessment: Mixed Multiple choice and Matching answer questions covering the material covered in the first 14 contact sessions, including questions relating to data. (30% total) b) End of module assessment with Multiple choice questions  (70% total). A fraction of these are expected to include data interpretation. Questions will be biased to the final elements of the course (70% of questions from the second half of the course). The data interpretation aspect of the assessment is highly authentic and research-connected, and the skills for completion are taught through active learning. (Active learning, digital fluency, confidence - Liverpool Curriculum Framework). Reassessment will use the same format, but the questions and data will differ. Mark will be capped at 40%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Resit opportunity exists. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE (Virtual Learning Environment) and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
BIOS104_FROM INDIVIDUALS TO ECOSYSTEM,"Written exam, unseen, managed by SAS",70 %,Approved,"Formative assessments throughout the course. Summative assessment There are two assessments: a) Mid-module assessment: Mixed Multiple choice and Matching answer questions covering the material covered in the first 14 contact sessions, including questions relating to data. (30% total) b) End of module assessment with Multiple choice questions  (70% total). A fraction of these are expected to include data interpretation. Questions will be biased to the final elements of the course (70% of questions from the second half of the course). The data interpretation aspect of the assessment is highly authentic and research-connected, and the skills for completion are taught through active learning. (Active learning, digital fluency, confidence - Liverpool Curriculum Framework). Reassessment will use the same format, but the questions and data will differ. Mark will be capped at 40%. This will take place in the normal reassessment window. Standard UoL penalty applies for late submission. Resit opportunity exists. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE (Virtual Learning Environment) and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE211_ANIMAL BEHAVIOUR,Coursework,40 %,Approved,"The following assessments have been designed to incorporate the hallmarks and attributes of the Liverpool Curriculum Framework. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Assessment 211 written end of module coursework comprises a disclosed essay. Assessment 211.1 will be a short written assignment whereby students complete the discussion of a scientific paper. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE211_ANIMAL BEHAVIOUR,Coursework,60 %,Approved,"The following assessments have been designed to incorporate the hallmarks and attributes of the Liverpool Curriculum Framework. Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Assessment 211 written end of module coursework comprises a disclosed essay. Assessment 211.1 will be a short written assignment whereby students complete the discussion of a scientific paper. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change.  Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE709_EVOLUTION AND BEHAVIOUR,Coursework,40 %,Approved,"Review: writing an in-depth Review of a topic (topic not directly related to their Masters Project, topic agreed in discussion between student and the academic that will mark it, and checked by the module coordinator). This is expected to be a very in depth and high quality piece of work, aiming for publishable or near publishable standard, requiring significant investment of time and effort by the student (reflected in this comprising 60% of the module mark). The style is based on Trends in Ecology and Evolution Reviews. This cannot be anonymously marked, as each student has a unique title for their topic, agreed with one of the staff members. This agreement of unique titles is used because we want students to work on a topic they find interesting and potentially useful for their future career, but given our expectation that students will produce work of near-publishable or publishable standard, the subject has to be one in which the staff member is sufficiently well-versed that they can properly evaluate the Review. Primer: writing a Primer on a topic, introducing a topic to a generalist biologist audience, based on Current Biology Primers. Topics will be proposed by academics, then researched as group work by 3-4 students, then written by each student independently. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE709_EVOLUTION AND BEHAVIOUR,Coursework,60 %,Approved,"Review: writing an in-depth Review of a topic (topic not directly related to their Masters Project, topic agreed in discussion between student and the academic that will mark it, and checked by the module coordinator). This is expected to be a very in depth and high quality piece of work, aiming for publishable or near publishable standard, requiring significant investment of time and effort by the student (reflected in this comprising 60% of the module mark). The style is based on Trends in Ecology and Evolution Reviews. This cannot be anonymously marked, as each student has a unique title for their topic, agreed with one of the staff members. This agreement of unique titles is used because we want students to work on a topic they find interesting and potentially useful for their future career, but given our expectation that students will produce work of near-publishable or publishable standard, the subject has to be one in which the staff member is sufficiently well-versed that they can properly evaluate the Review. Primer: writing a Primer on a topic, introducing a topic to a generalist biologist audience, based on Current Biology Primers. Topics will be proposed by academics, then researched as group work by 3-4 students, then written by each student independently. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students, a skill highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning. Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given"
LIFE326_CONSERVATION BIOLOGY,Coursework,60 %,Approved,"The open book coursework task will require students to synthesise several of the topics and concepts taught in lectures. Assessment 2 is an essay, based on primary literature and fully referenced, explaining both sides of a ""great conservation debate"" topic, selected from five available topics. Students will form into groups to prepare an active debate of the issues in front of the rest of the class: this formative exercise will help to ensure their essays’ arguments stand up to scrutiny. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students and critical thinking, skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
LIFE326_CONSERVATION BIOLOGY,Coursework,40 %,Approved,"The open book coursework task will require students to synthesise several of the topics and concepts taught in lectures. Assessment 2 is an essay, based on primary literature and fully referenced, explaining both sides of a ""great conservation debate"" topic, selected from five available topics. Students will form into groups to prepare an active debate of the issues in front of the rest of the class: this formative exercise will help to ensure their essays’ arguments stand up to scrutiny. The assessments reflect real-life and career-based scenarios (Authentic assessment hallmark of the Liverpool Curriculum Framework). Specifically, these assessments enhance digital fluency in our students and critical thinking, skills highly sought after by graduate employers. Additionally, we are creating confident graduates who will excel in their field. These authentic assessments are research-connected and the skills for completion are taught through active learning Students will be informed that, in exceptional circumstances (e.g. global pandemics), plans for assessment may be subject to change. Contact will be made via the VLE and an e-mail will be sent to each of the students informing them of any changes that prove to be necessary. The Health and Life Sciences FAQSC will be informed in advance of any such changes, so that approval can be given."
